,imgSrc,hasImage,detailUrl,statusType,statusText,price,address,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,has3DModel,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,timeOnZillow,unitCount,latLong.latitude,latLong.longitude,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,priceLabel,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,visited,info1String,brokerName,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.unit,plid,badgeInfo.type,badgeInfo.text,hdpData.homeInfo.videoCount,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,lotAreaString,hdpData.homeInfo.isRentalWithBasePrice
0,https://photos.zillowstatic.com/fp/9cf0b6c14aab81153811902c48f98a36-p_e.jpg,True,/b/6007-n-sheridan-rd-chicago-il-BnDR/,SOLD,For Rent,,"6007 Sheridan St, Chicago, IL",1.0,1.0,1000.0,1032941.0,41.991306--87.65479,True,False,False,False,False,False,False,,False,71092000.0,82.0,41.991306,-87.65479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://photos.zillowstatic.com/fp/a41e2e23352b18ad1f5fd536b1fb2638-p_e.jpg,True,/homedetails/2023-N-Winchester-Ave-Chicago-IL-60614/3732685_zpid/,SOLD,Closed,$1.25M,"2023 N Winchester Ave, Chicago, IL 60614",,,,,,,,False,False,True,False,False,,False,,,41.918495,-87.67608,3732685,RecentlySold,RecentChange,$1.25M,4.0,4.0,3825.0,False,False,RecentlySold,Unknown Listed By,False,False,False,MLS ID #11934960,Berkshire Hathaway HomeServices Chicago,RECENTLY_SOLD,Sold 03/05/2024,3732685.0,2023 N Winchester Ave,60614,Chicago,IL,41.918495,-87.67608,1249000.0,1709625600000.0,4.0,4.0,3825.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1250000.0,7782.0,False,False,RECENTLY_SOLD,1249000.0,True,False,False,USD,USA,1190000.0,3001.284,sqft,False,,,,,,,,,,,,,
2,https://photos.zillowstatic.com/fp/6fa66886e1e7e9bcaadf9160bbd3f3b3-p_e.jpg,True,/homedetails/1853-W-Ohio-St-Chicago-IL-60622/3861091_zpid/,SOLD,Closed,"$690,000","1853 W Ohio St, Chicago, IL 60622",,,,,,,,False,False,True,False,False,,False,,,41.892082,-87.67416,3861091,RecentlySold,RecentChange,$690K,4.0,3.0,2300.0,False,False,RecentlySold,Unknown Listed By,False,False,False,MLS ID #11958351,Chicago Properties Firm,RECENTLY_SOLD,Sold 03/05/2024,3861091.0,1853 W Ohio St,60622,Chicago,IL,41.892082,-87.67416,690000.0,1709625600000.0,3.0,4.0,2300.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,716800.0,4200.0,False,False,RECENTLY_SOLD,690000.0,True,False,False,USD,USA,800000.0,2400.156,sqft,False,,,,,,,,,,,,,
3,https://photos.zillowstatic.com/fp/44aeb08b541e9e107294eea89ead2c67-p_e.jpg,True,/homedetails/5136-S-Laramie-Ave-Chicago-IL-60638/3924490_zpid/,SOLD,Closed,"$370,000","5136 S Laramie Ave, Chicago, IL 60638",,,,,,,,False,False,True,False,False,,False,,,41.799065,-87.75305,3924490,RecentlySold,RecentChange,$370K,5.0,2.0,2208.0,False,False,RecentlySold,Unknown Listed By,False,False,False,MLS ID #11955834,RE/MAX 10 in the Park,RECENTLY_SOLD,Sold 03/05/2024,3924490.0,5136 S Laramie Ave,60638,Chicago,IL,41.799065,-87.75305,370000.0,1709625600000.0,2.0,5.0,2208.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,354600.0,2798.0,False,False,RECENTLY_SOLD,370000.0,True,False,False,USD,USA,220000.0,3750.0,sqft,False,,,,,,,,,,,,,
4,https://photos.zillowstatic.com/fp/f5d849bd0013a64336706a4d5b87ed48-p_e.jpg,True,/homedetails/6148-W-63rd-Pl-Chicago-IL-60638/3947908_zpid/,SOLD,Closed,"$280,000","6148 W 63rd Pl, Chicago, IL 60638",,,,,,,,False,False,True,False,False,,False,,,41.77717,-87.77585,3947908,RecentlySold,RecentChange,$280K,3.0,2.0,1099.0,False,False,RecentlySold,Unknown Listed By,False,False,False,MLS ID #11943781,Goggin Real Estate LLC,RECENTLY_SOLD,Sold 03/05/2024,3947908.0,6148 W 63rd Pl,60638,Chicago,IL,41.77717,-87.77585,280000.0,1709625600000.0,2.0,3.0,1099.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,288700.0,2425.0,False,False,RECENTLY_SOLD,280000.0,True,False,False,USD,USA,219990.0,3531.0,sqft,False,,,,,,,,,,,,,
5,https://photos.zillowstatic.com/fp/529d5dff30fc5976488dedcde772747b-p_e.jpg,True,/b/1615-e-hyde-park-blvd-chicago-il-DWFn/,SOLD,For Rent,,"1623 E Hyde Park Blvd, Chicago, IL",2.0,2.0,1500.0,1237092.0,41.80215--87.585815,True,False,False,False,False,False,False,,False,71092000.0,4.0,41.80215,-87.585815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=41.750335693359375,-87.55858612060547&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=t3-sPcFcuiXW3pwSKCaf6vZRKFk=",,/homedetails/7951-S-Marquette-Ave-Chicago-IL-60617/4026575_zpid/,SOLD,Sold,"$75,000","7951 S Marquette Ave, Chicago, IL 60617",,,,,,,,False,False,False,False,False,,False,71092000.0,,41.750336,-87.558586,4026575,RecentlySold,Non Owner Occupied,$75K,4.0,2.0,1200.0,False,False,RecentlySold,Unknown Listed By,False,False,False,,,RECENTLY_SOLD,Sold 03/05/2024,4026575.0,7951 S Marquette Ave,60617,Chicago,IL,41.750336,-87.558586,75000.0,1709625600000.0,2.0,4.0,1200.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,112300.0,2355.0,False,False,RECENTLY_SOLD,75000.0,True,False,False,USD,USA,70000.0,2976.0,sqft,False,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=41.750335693359375,-87.55858612060547&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=EJ9q7Fmd6IQBbZEh5v0T5UYo4p0=","https://maps.googleapis.com/maps/api/streetview/metadata?location=41.750335693359375,-87.55858612060547&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=0GjLqocSmocyKbRfYCdEg7SDMtg=",71092000.0,,,,,,,,,,
7,https://photos.zillowstatic.com/fp/0a3c6e862409e28ab4978b33632efae2-p_e.jpg,True,/b/michigan-ave-608-chicago-il-9QwB/,SOLD,For Rent,,"910 S Michigan Ave, Chicago, IL",1.0,1.0,830.0,873776.0,41.870163--87.62485,True,False,True,False,False,False,False,,False,71092000.0,52.0,41.870163,-87.62485,,,,,,,,,,,,,,,,,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://photos.zillowstatic.com/fp/b3e778c01c7261760c7a041971e95e5a-p_e.jpg,True,/homedetails/1524-N-Mohawk-St-1-Chicago-IL-60610/2057699658_zpid/,SOLD,Closed,$1.25M,"1524 N Mohawk St #1, Chicago, IL 60610",,,,,,,,False,False,True,False,False,,False,,,41.909958,-87.6422,2057699658,RecentlySold,RecentChange,$1.25M,4.0,4.0,2800.0,False,False,RecentlySold,Unknown Listed By,False,False,False,MLS ID #11924849,Compass,RECENTLY_SOLD,Sold 03/05/2024,2057699658.0,1524 N Mohawk St #1,60610,Chicago,IL,41.909958,-87.6422,1250000.0,1709625600000.0,4.0,4.0,2800.0,CONDO,RECENTLY_SOLD,-1.0,False,False,1264500.0,7881.0,False,False,RECENTLY_SOLD,1250000.0,True,False,False,USD,USA,,,,False,,,,# 1,,,,,,,,,
9,https://photos.zillowstatic.com/fp/da92fb80314d55ac070331721d3a300c-p_e.jpg,True,/b/3530-n-lincoln-ave-chicago-il-9S6XpC/,SOLD,For Rent,,"3530 N Lincoln Ave, Chicago, IL",2.0,2.0,2000.0,2104687307.0,41.945904--87.67336,True,False,False,False,False,False,False,,False,71092000.0,6.0,41.945904,-87.67336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4593501,,,,,,,,
