,imgSrc,hasImage,detailUrl,statusType,statusText,price,address,minBeds,minBaths,minArea,lotId,buildingName,buildingId,isBuilding,canSaveBuilding,has3DModel,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,timeOnZillow,unitCount,latLong.latitude,latLong.longitude,variableData.type,variableData.text,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,priceLabel,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,visited,info3String,brokerName,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.unit,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.videoCount,hdpData.homeInfo.listing_sub_type.is_FSBA,lotAreaString,availabilityDate,hdpData.homeInfo.isRentalWithBasePrice,plid,communityName,builderName,isCdpResult,style,isComingSoonCommunity
0,https://photos.zillowstatic.com/fp/c96fc07d83b5584c3c432c6c27695bcf-p_e.jpg,True,/b/2230-california-st-nw-washington-dc-5h6N5m/,SOLD,St Nicholas,,"2230 California St NW, Washington, DC",2.0,2.0,1422.0,1043942979.0,St Nicholas,38.91548--77.04993,True,False,True,False,False,False,False,,False,71084000.0,7.0,38.91548,-77.04993,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://photos.zillowstatic.com/fp/ff4a13fb62e04a66c01a6661337a0d5f-p_e.jpg,True,/homedetails/5048-Queens-Stroll-Pl-SE-Washington-DC-20019/515642_zpid/,SOLD,Sold,"$425,000","5048 Queens Stroll Pl SE, Washington, DC 20019",,,,,,,,,False,False,True,False,False,,False,71084000.0,,38.88321,-76.92925,RECENTLY_SOLD,Sold 03/05/2024,515642,RecentlySold,RecentChange,$425K,4.0,2.0,1412.0,False,False,RecentlySold,Unknown Listed By,False,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Samson Properties,515642.0,5048 Queens Stroll Pl SE,20019,Washington,DC,38.88321,-76.92925,425000.0,1709625600000.0,2.0,4.0,1412.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,451700.0,2995.0,False,False,RECENTLY_SOLD,425000.0,71084000.0,True,False,False,USD,USA,232790.0,4000.0,sqft,False,,,,,,,,,,,,,,,,,
2,https://photos.zillowstatic.com/fp/b429c48a1f930df481d07ce13768dcc3-p_e.jpg,True,/b/euclid-manor-washington-dc-5XrXdm/,SOLD,Columbia Heights,,"1439 Euclid St NW, Washington, DC",0.0,1.0,306.0,1002198164.0,Columbia Heights,38.92379--77.0335,True,False,False,False,False,False,False,,False,71084000.0,7.0,38.92379,-77.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://photos.zillowstatic.com/fp/f3d2c929a281b2563f5e9b1db1ede9fe-p_e.jpg,True,/b/824-taylor-st-ne-washington-dc-9PbqHy/,SOLD,For Rent,,"824 Taylor St NE, Washington, DC",2.0,2.0,931.0,2090366507.0,,38.94097--76.9937,True,False,True,False,False,False,False,,False,71084000.0,4.0,38.94097,-76.9937,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.93817138671875,-77.09867858886719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=VDsSmicO18BX301isag83Ro_TLE=",,/homedetails/4949-Quebec-St-NW-Washington-DC-20016/437578_zpid/,SOLD,Sold,$1.70M,"4949 Quebec St NW, Washington, DC 20016",,,,,,,,,False,False,True,False,False,,False,157484000.0,,38.93817,-77.09868,RECENTLY_SOLD,Sold 03/04/2024,437578,RecentlySold,RecentChange,$1.70M,5.0,5.0,3635.0,False,False,RecentlySold,RecentChange,False,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Non Subscribing Office,437578.0,4949 Quebec St NW,20016,Washington,DC,38.93817,-77.09868,1700000.0,1709539200000.0,5.0,5.0,3635.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1983600.0,8026.0,False,False,RECENTLY_SOLD,1700000.0,157484000.0,True,False,False,USD,USA,1707790.0,9100.0,sqft,False,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=38.93817138671875,-77.09867858886719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=QzseQd_jH7gAwWKkDy3lQ3HEN4c=","https://maps.googleapis.com/maps/api/streetview/metadata?location=38.93817138671875,-77.09867858886719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=LtvhHspg8r9WEaTxw-m4amAGA2E=",,,,,,,,,,,,,,,
5,https://photos.zillowstatic.com/fp/de6e09262082a1df977785bf05faea24-p_e.jpg,True,/homedetails/4200-Cathedral-Ave-NW-APT-1017-Washington-DC-20016/443292_zpid/,SOLD,Sold,"$379,000","4200 Cathedral Ave NW APT 1017, Washington, DC 20016",,,,,,,,,False,False,True,False,False,,False,157484000.0,,38.929726,-77.08299,RECENTLY_SOLD,Sold 03/04/2024,443292,RecentlySold,RecentChange,$379K,2.0,1.0,920.0,False,False,RecentlySold,Unknown Listed By,False,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,"Long & Foster Real Estate, Inc.",443292.0,4200 Cathedral Ave NW APT 1017,20016,Washington,DC,38.929726,-77.08299,379000.0,1709539200000.0,1.0,2.0,920.0,CONDO,RECENTLY_SOLD,-1.0,False,False,370000.0,2500.0,False,False,RECENTLY_SOLD,379000.0,157484000.0,True,False,False,USD,USA,289160.0,,,False,,,Apt 1017,,,,,,,,,,,,,,
6,https://photos.zillowstatic.com/fp/314526d4da362ce5031e388a1bc87bb7-p_e.jpg,True,/b/4301-massachusetts-ave-nw-washington-dc-5XkPfT/,SOLD,Cleveland Park,,"4301 Massachusetts Ave NW, Washington, DC",1.0,1.0,772.0,1001593147.0,Cleveland Park,38.93674--77.08316,True,False,False,False,False,False,False,,False,157484000.0,18.0,38.93674,-77.08316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.92959976196289,-77.07634735107422&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=jheIzlXl14MKS8czutHobbTfJ-Y=",,/homedetails/3820-Klingle-Pl-NW-Washington-DC-20016/446685_zpid/,SOLD,Sold,$1.98M,"3820 Klingle Pl NW, Washington, DC 20016",,,,,,,,,False,False,True,False,False,,False,157484000.0,,38.9296,-77.07635,RECENTLY_SOLD,Sold 03/04/2024,446685,RecentlySold,RecentChange,$1.98M,4.0,4.0,3033.0,False,False,RecentlySold,RecentChange,False,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Non Subscribing Office,446685.0,3820 Klingle Pl NW,20016,Washington,DC,38.9296,-77.07635,1979500.0,1709539200000.0,4.0,4.0,3033.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1987800.0,6343.0,False,False,RECENTLY_SOLD,1979500.0,157484000.0,True,False,False,USD,USA,1298720.0,3046.0,sqft,False,"https://maps.googleapis.com/maps/api/streetview?size=575x242&location=38.92959976196289,-77.07634735107422&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=BeQ66I688gwZ2fuC4M_cAF9jfz0=","https://maps.googleapis.com/maps/api/streetview/metadata?location=38.92959976196289,-77.07634735107422&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=y9WzO-FX-2osKDHXg7-6eDT_EdE=",,,,,,,,,,,,,,,
8,https://photos.zillowstatic.com/fp/c7254be74ccc725635f532405b349115-p_e.jpg,True,/b/2737-devonshire-pl-nw-washington-dc-5h5g2N/,SOLD,Garfield,,"2737 Devonshire Pl NW, Washington, DC",0.0,1.0,461.0,1043861179.0,Garfield,38.93164--77.05684,True,False,True,False,False,False,False,,False,157484000.0,20.0,38.93164,-77.05684,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://photos.zillowstatic.com/fp/432a57b5a3dd42bd867f77fc0319dfe1-p_e.jpg,True,/homedetails/717-Girard-St-NW-Washington-DC-20001/474248_zpid/,SOLD,Sold,"$960,000","717 Girard St NW, Washington, DC 20001",,,,,,,,,False,False,True,False,False,,False,157484000.0,,38.92625,-77.02335,RECENTLY_SOLD,Sold 03/04/2024,474248,RecentlySold,RecentChange,$960K,4.0,4.0,2076.0,False,False,RecentlySold,RecentChange,False,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Compass,474248.0,717 Girard St NW,20001,Washington,DC,38.92625,-77.02335,960000.0,1709539200000.0,4.0,4.0,2076.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,,4500.0,False,False,RECENTLY_SOLD,960000.0,157484000.0,True,False,False,USD,USA,991610.0,1375.0,sqft,False,,,,,,,,,,,,,,,,,
