,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info2String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.videoCount,hdpData.homeInfo.listing_sub_type.is_FSBA,streetViewURL,streetViewMetadataURL,lotAreaString,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,plid,buildingName,badgeInfo.type,badgeInfo.text,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,communityName,builderName,isCdpResult,isComingSoonCommunity
0,7992283,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/c57d5b3b6aa9f952b024efd8ad6b7242-p_e.jpg,True,/homedetails/3721-E-Piute-Ave-Phoenix-AZ-85050/7992283_zpid/,SOLD,Sold,"$579,000",$579K,"3721 E Piute Ave, Phoenix, AZ 85050",3.0,2.0,1882.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,"Opendoor Brokerage, LLC",71095000.0,33.66301,-112.00157,RECENTLY_SOLD,Sold 03/05/2024,7992283.0,3721 E Piute Ave,85050,Phoenix,AZ,33.66301,-112.00157,579000.0,1709625600000.0,2.0,3.0,1882.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,583600.0,2875.0,False,False,RECENTLY_SOLD,579000.0,71095000.0,True,False,False,USD,USA,321200.0,9607.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8134462,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/ddb9c768468f828c963bb4577295967a-p_e.jpg,True,/homedetails/1625-W-South-Fork-Dr-Phoenix-AZ-85045/8134462_zpid/,SOLD,Sold,"$580,000",$580K,"1625 W South Fork Dr, Phoenix, AZ 85045",3.0,2.0,2008.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,RHouse Realty,71095000.0,33.30277,-112.09454,RECENTLY_SOLD,Sold 03/05/2024,8134462.0,1625 W South Fork Dr,85045,Phoenix,AZ,33.30277,-112.09454,580000.0,1709625600000.0,2.0,3.0,2008.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,576400.0,2495.0,False,False,RECENTLY_SOLD,580000.0,71095000.0,True,False,False,USD,USA,326600.0,7244.0,sqft,False,1706688000000.0,"$10,100 (Jan 31)",-10100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35756360,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/1b646a8b9861e6708037d479e01c6fce-p_e.jpg,True,/homedetails/1203-E-Wescott-Dr-Phoenix-AZ-85024/35756360_zpid/,SOLD,Sold,"$465,000",$465K,"1203 E Wescott Dr, Phoenix, AZ 85024",3.0,2.0,2069.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,HomeSmart,71095000.0,33.65827,-112.05671,RECENTLY_SOLD,Sold 03/05/2024,35756360.0,1203 E Wescott Dr,85024,Phoenix,AZ,33.65827,-112.05671,465000.0,1709625600000.0,2.0,3.0,2069.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,467600.0,2900.0,False,False,RECENTLY_SOLD,465000.0,71095000.0,True,False,False,USD,USA,298300.0,8697.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2055215018,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/4d09860bcd3959685f32a51ee7f0f53e-p_e.jpg,True,/homedetails/2030-E-Michigan-Ave-1-Phoenix-AZ-85022/2055215018_zpid/,SOLD,Sold,"$473,614",$474K,"2030 E Michigan Ave #1, Phoenix, AZ 85022",3.0,3.0,1600.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,Source Real Estate,71095000.0,33.651512,-112.038345,RECENTLY_SOLD,Sold 03/05/2024,2055215018.0,2030 E Michigan Ave #1,85022,Phoenix,AZ,33.651512,-112.038345,473614.0,1709625600000.0,3.0,3.0,1600.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,,2190.0,False,False,RECENTLY_SOLD,473614.0,71095000.0,True,False,False,USD,USA,,1674.0,sqft,False,,,,# 1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7494189,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/61ee35cc00c8e950c0c308b917177b78-p_e.jpg,True,/homedetails/5029-W-Lewis-Ave-Phoenix-AZ-85035/7494189_zpid/,SOLD,Sold,"$348,000",$348K,"5029 W Lewis Ave, Phoenix, AZ 85035",4.0,2.0,1648.0,False,False,RecentlySold,RecentChange,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,"Opendoor Brokerage, LLC",157495000.0,33.474045,-112.16721,RECENTLY_SOLD,Sold 03/04/2024,7494189.0,5029 W Lewis Ave,85035,Phoenix,AZ,33.474045,-112.16721,348000.0,1709539200000.0,2.0,4.0,1648.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,342600.0,1855.0,False,False,RECENTLY_SOLD,348000.0,157495000.0,True,False,False,USD,USA,187800.0,6316.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7520390,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/4941c42fc376ebb1e418f9e077589bc5-p_e.jpg,True,/homedetails/1702-N-Laurel-Ave-Phoenix-AZ-85007/7520390_zpid/,SOLD,Sold,"$499,500",$500K,"1702 N Laurel Ave, Phoenix, AZ 85007",2.0,2.0,1234.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,HomeSmart,157495000.0,33.46708,-112.09291,RECENTLY_SOLD,Sold 03/04/2024,7520390.0,1702 N Laurel Ave,85007,Phoenix,AZ,33.46708,-112.09291,499500.0,1709539200000.0,2.0,2.0,1234.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,498500.0,2399.0,False,False,RECENTLY_SOLD,499500.0,157495000.0,True,False,False,USD,USA,293600.0,7275.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7566527,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/947f5a02472da28c8ce25cc5ffa9448c-p_e.jpg,True,/homedetails/4813-E-Earll-Dr-Phoenix-AZ-85018/7566527_zpid/,SOLD,Sold,"$520,000",$520K,"4813 E Earll Dr, Phoenix, AZ 85018",3.0,1.0,1215.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,Hague Partners,157495000.0,33.48348,-111.97729,RECENTLY_SOLD,Sold 03/04/2024,7566527.0,4813 E Earll Dr,85018,Phoenix,AZ,33.48348,-111.97729,520000.0,1709539200000.0,1.0,3.0,1215.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,681900.0,3800.0,False,False,RECENTLY_SOLD,520000.0,157495000.0,True,False,False,USD,USA,326200.0,7971.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7744786,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/36e48f869af29b89efd4ba408d0f46f1-p_e.jpg,True,/homedetails/11226-N-39th-Ave-Phoenix-AZ-85029/7744786_zpid/,SOLD,Sold,"$426,000",$426K,"11226 N 39th Ave, Phoenix, AZ 85029",4.0,2.0,1871.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,"Real Broker AZ, LLC",157495000.0,33.588085,-112.143005,RECENTLY_SOLD,Sold 03/04/2024,7744786.0,11226 N 39th Ave,85029,Phoenix,AZ,33.588085,-112.143005,426000.0,1709539200000.0,2.0,4.0,1871.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,434200.0,2149.0,False,False,RECENTLY_SOLD,426000.0,157495000.0,True,False,False,USD,USA,210100.0,8225.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7756061,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/4d532bd805748bed8aaa30edb990603f-p_e.jpg,True,/homedetails/3033-W-Northview-Ave-Phoenix-AZ-85051/7756061_zpid/,SOLD,Sold,"$419,000",$419K,"3033 W Northview Ave, Phoenix, AZ 85051",4.0,2.0,2020.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,HomeSmart,157495000.0,33.54276,-112.12465,RECENTLY_SOLD,Sold 03/04/2024,7756061.0,3033 W Northview Ave,85051,Phoenix,AZ,33.54276,-112.12465,419000.0,1709539200000.0,2.0,4.0,2020.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,,2199.0,False,False,RECENTLY_SOLD,419000.0,157495000.0,True,False,False,USD,USA,212000.0,8250.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7773265,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/286b2f2bedfa358601622073586349bb-p_e.jpg,True,/homedetails/1935-W-Keim-Dr-Phoenix-AZ-85015/7773265_zpid/,SOLD,Sold,"$525,000",$525K,"1935 W Keim Dr, Phoenix, AZ 85015",5.0,4.0,2364.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Listing provided by ARMLS,A.Z. & Associates,157495000.0,33.52707,-112.10127,RECENTLY_SOLD,Sold 03/04/2024,7773265.0,1935 W Keim Dr,85015,Phoenix,AZ,33.52707,-112.10127,525000.0,1709539200000.0,4.0,5.0,2364.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,537100.0,3204.0,False,False,RECENTLY_SOLD,525000.0,157495000.0,True,False,False,USD,USA,249200.0,8411.0,sqft,False,1705996800000.0,"$4,900 (Jan 23)",-4900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
