,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,hdpData.homeInfo.unit,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,streetViewURL,streetViewMetadataURL,lotAreaString,hdpData.homeInfo.videoCount,availabilityDate,hdpData.homeInfo.isRentalWithBasePrice,isR4R,hdpData.homeInfo.rentalMarketingSubType,plid,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceChange,hdpData.homeInfo.listing_sub_type.is_FSBA
0,17064553,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/1a448c6fb03ef2a271d5e937b7fa8f9e-p_e.jpg,True,/homedetails/756-Cornish-Dr-San-Diego-CA-92107/17064553_zpid/,SOLD,Sold,$2.62M,$2.62M,"756 Cornish Dr, San Diego, CA 92107",4.0,3.0,2309.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Compass,71088000,32.720734,-117.25424,RECENTLY_SOLD,Sold 03/05/2024,17064553.0,756 Cornish Dr,92107,San Diego,CA,32.720734,-117.25424,2615000.0,1709625600000.0,3.0,4.0,2309.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,7926.0,False,False,RECENTLY_SOLD,2615000.0,71088000.0,True,False,False,USD,USA,170716.0,False,,,,,,,,,,,,,,,,,,,,,,,,
1,16745254,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/057ba08bb1a3bb4a6b6401f555c9b085-p_e.jpg,True,/homedetails/16382-Avenida-Venusto-A-San-Diego-CA-92128/16745254_zpid/,SOLD,Sold,"$870,000",$870K,"16382 Avenida Venusto #A, San Diego, CA 92128",2.0,3.0,1557.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Century 21 Affiliated,157488000,33.01092,-117.076675,RECENTLY_SOLD,Sold 03/04/2024,16745254.0,16382 Avenida Venusto #A,92128,San Diego,CA,33.01092,-117.076675,870000.0,1709539200000.0,3.0,2.0,1557.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,3625.0,False,False,RECENTLY_SOLD,870000.0,157488000.0,True,False,False,USD,USA,831000.0,False,882300.0,# A,8.4504,acres,,,,,,,,,,,,,,,,,,,,
2,16841655,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/6f982db1a04f8903a5e654eddca5d387-p_e.jpg,True,/homedetails/8503-Villa-La-Jolla-Dr-APT-B-La-Jolla-CA-92037/16841655_zpid/,SOLD,Sold,"$783,000",$783K,"8503 Villa La Jolla Dr APT B, La Jolla, CA 92037",2.0,2.0,978.0,False,False,RecentlySold,RecentChange,False,False,False,False,True,False,False,,False,False,168 Realty Inc.,157488000,32.86399,-117.23512,RECENTLY_SOLD,Sold 03/04/2024,16841655.0,8503 Villa La Jolla Dr APT B,92037,La Jolla,CA,32.86399,-117.23512,783000.0,1709539200000.0,2.0,2.0,978.0,CONDO,RECENTLY_SOLD,-1.0,False,False,3200.0,False,False,RECENTLY_SOLD,783000.0,157488000.0,True,False,False,USD,USA,703799.0,False,793800.0,Apt B,2.5735,acres,,,,,,,,,,,,,,,,,,,,
3,16857631,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/754d114bbc69d5e903b9a3226a79c9d8-p_e.jpg,True,/homedetails/1575-Calle-Camille-La-Jolla-CA-92037/16857631_zpid/,SOLD,Sold,$2.60M,$2.60M,"1575 Calle Camille, La Jolla, CA 92037",4.0,3.0,2676.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Berkshire Hathaway HomeServices California Properties,157488000,32.817425,-117.24572,RECENTLY_SOLD,Sold 03/04/2024,16857631.0,1575 Calle Camille,92037,La Jolla,CA,32.817425,-117.24572,2596005.0,1709539200000.0,3.0,4.0,2676.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,8514.0,False,False,RECENTLY_SOLD,2596005.0,157488000.0,True,False,False,USD,USA,1321081.0,False,2406600.0,,10100.0,sqft,,,,,,,,,,,,,,,,,,,,
4,16870873,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/527aea6f8d8b1dcb2b6ffeddd83a5c76-p_e.jpg,True,/homedetails/10872-Lamentin-Ct-San-Diego-CA-92124/16870873_zpid/,SOLD,Sold,"$660,000",$660K,"10872 Lamentin Ct, San Diego, CA 92124",2.0,1.0,950.0,False,False,RecentlySold,Unknown Listed By,False,True,False,False,True,False,False,,False,False,Coldwell Banker West,157488000,32.8266,-117.09509,RECENTLY_SOLD,Sold 03/04/2024,16870873.0,10872 Lamentin Ct,92124,San Diego,CA,32.8266,-117.09509,660000.0,1709539200000.0,1.0,2.0,950.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,2600.0,False,False,RECENTLY_SOLD,660000.0,157488000.0,True,False,False,USD,USA,179998.0,False,633500.0,,,,,,,,,,,,,,,,,,,,,,,
5,16970760,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/17abb6df796cb99b55b7b978ccc082b3-p_e.jpg,True,/homedetails/1619-Robinson-Ave-San-Diego-CA-92103/16970760_zpid/,SOLD,Sold,$1.01M,$1.01M,"1619 Robinson Ave, San Diego, CA 92103",3.0,2.0,1167.0,False,False,RecentlySold,RecentChange,False,False,False,False,True,False,False,,False,False,"Tandado Real Estate, Inc.",157488000,32.74612,-117.14867,RECENTLY_SOLD,Sold 03/04/2024,16970760.0,1619 Robinson Ave,92103,San Diego,CA,32.74612,-117.14867,1010000.0,1709539200000.0,2.0,3.0,1167.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,3895.0,False,False,RECENTLY_SOLD,1010000.0,157488000.0,True,False,False,USD,USA,261407.0,False,1182400.0,,5737.0,sqft,,,,,,,,,,,,,,,,,,,,
6,16973960,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/c2e7544ad9c1efb2df354ddd385ce096-p_e.jpg,True,/homedetails/3622-Alabama-St-San-Diego-CA-92104/16973960_zpid/,SOLD,Sold,$1.20M,$1.20M,"3622 Alabama St, San Diego, CA 92104",3.0,2.0,1565.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,RE/MAX Associates,157488000,32.74375,-117.14246,RECENTLY_SOLD,Sold 03/04/2024,16973960.0,3622 Alabama St,92104,San Diego,CA,32.74375,-117.14246,1200000.0,1709539200000.0,2.0,3.0,1565.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,4700.0,False,False,RECENTLY_SOLD,1200000.0,157488000.0,True,False,False,USD,USA,200028.0,False,1516700.0,,,,,,,,,,,,,,,,,,,,,,,
7,17002980,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/740722e4964bb3a6498c044037ca578c-p_e.jpg,True,/homedetails/4205-45th-St-APT-4-San-Diego-CA-92115/17002980_zpid/,SOLD,Sold,"$457,143",$457K,"4205 45th St APT 4, San Diego, CA 92115",2.0,2.0,930.0,False,False,RecentlySold,Unknown Listed By,False,True,False,False,True,False,False,,False,False,Compass,157488000,32.753345,-117.09733,RECENTLY_SOLD,Sold 03/04/2024,17002980.0,4205 45th St APT 4,92115,San Diego,CA,32.753345,-117.09733,457143.0,1709539200000.0,2.0,2.0,930.0,CONDO,RECENTLY_SOLD,-1.0,False,False,2500.0,False,False,RECENTLY_SOLD,457143.0,157488000.0,True,False,False,USD,USA,277005.0,False,470800.0,Apt 4,0.2873048668503214,acres,,,,,,,,,,,,,,,,,,,,
8,17074628,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/498009b1f4cbe9d8d0f28623f7b7a0a6-p_e.jpg,True,/homedetails/1695-Logan-Ave-San-Diego-CA-92113/17074628_zpid/,SOLD,Sold,"$825,000",$825K,"1695 Logan Ave, San Diego, CA 92113",3.0,2.0,1176.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,Revilo Realty,157488000,32.703705,-117.14791,RECENTLY_SOLD,Sold 03/04/2024,17074628.0,1695 Logan Ave,92113,San Diego,CA,32.703705,-117.14791,825000.0,1709539200000.0,2.0,3.0,1176.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,3499.0,False,False,PRE_FORECLOSURE,0.0,157488000.0,True,False,False,USD,USA,665000.0,False,,,5174.0,sqft,,,,,,,,,,,,,,,,,,,,
9,,,,https://photos.zillowstatic.com/fp/b9a2a86323b9b20fa0b175a974438bb9-p_e.jpg,True,/b/2861-b-st-san-diego-ca-5Y8gFV/,SOLD,For Rent,,,"2861 B St, San Diego, CA",,,,,,,,,False,,False,False,False,False,,False,,,157488000,32.71765,-117.13243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,900.0,1003861064.0,32.71765--117.13243,True,False,2.0,,,,,,,,,,,,
