,imgSrc,hasImage,detailUrl,statusType,statusText,price,address,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,has3DModel,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,timeOnZillow,unitCount,latLong.latitude,latLong.longitude,variableData.type,variableData.text,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,priceLabel,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,visited,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,info6String,brokerName,hdpData.homeInfo.videoCount,hdpData.homeInfo.unit,plid,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,communityName,builderName,isCdpResult,style,isComingSoonCommunity,availabilityDate,hdpData.homeInfo.isRentalWithBasePrice,lotAreaString,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.listing_sub_type.is_forAuction
0,https://photos.zillowstatic.com/fp/e410a5488a1ed079b8c7fe63793ca019-p_e.jpg,True,/b/111-chestnut-st-san-francisco-ca-5Xn5PG/,SOLD,For Rent,,"111 Chestnut St, San Francisco, CA",1.0,1.0,589.0,1001789381.0,37.80453--122.40555,True,False,True,False,False,False,False,,False,71101000.0,11.0,37.80453,-122.40555,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://photos.zillowstatic.com/fp/d8ce163ab754d2010cbc118eb3623a84-p_e.jpg,True,/homedetails/2122-Kirkham-St-San-Francisco-CA-94122/15105221_zpid/,SOLD,Sold,$1.95M,"2122 Kirkham St, San Francisco, CA 94122",,,,,,,,False,False,False,False,False,,False,71101000.0,,37.75978,-122.483765,RECENTLY_SOLD,Sold 03/05/2024,15105221,RecentlySold,RecentChange,$1.95M,5.0,3.0,2275.0,False,False,RecentlySold,Unknown Listed By,False,False,False,15105221.0,2122 Kirkham St,94122,San Francisco,CA,37.75978,-122.483765,1950000.0,1709625600000.0,3.0,5.0,2275.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1856700.0,6899.0,False,False,RECENTLY_SOLD,1950000.0,71101000.0,True,False,False,USD,USA,1559476.0,2495.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,
2,https://photos.zillowstatic.com/fp/368cae98c9c4ffca6ab79d4f00e40c8f-p_e.jpg,True,/homedetails/2507-47th-Ave-San-Francisco-CA-94116/15124436_zpid/,SOLD,Sold,"$930,000","2507 47th Ave, San Francisco, CA 94116",,,,,,,,False,False,True,False,False,,False,71101000.0,,37.739635,-122.50578,RECENTLY_SOLD,Sold 03/05/2024,15124436,RecentlySold,Non Owner Occupied,$930K,2.0,1.0,878.0,False,False,RecentlySold,Unknown Listed By,False,False,False,15124436.0,2507 47th Ave,94116,San Francisco,CA,37.739635,-122.50578,930000.0,1709625600000.0,1.0,2.0,878.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,,2999.0,False,False,RECENTLY_SOLD,930000.0,71101000.0,True,False,False,USD,USA,313065.0,1751.112,sqft,False,Carlson Seto DRE #01336417,Golden Star Realty,,,,,,,,,,,,,,,,,,,,,
3,https://photos.zillowstatic.com/fp/df2e78fc935e12de40242cbc21852fe4-p_e.jpg,True,/homedetails/1849-Lyon-St-San-Francisco-CA-94115/15082474_zpid/,SOLD,Sold,$2.50M,"1849 Lyon St, San Francisco, CA 94115",,,,,,,,False,False,True,False,False,,False,157501000.0,,37.788193,-122.44585,RECENTLY_SOLD,Sold 03/04/2024,15082474,RecentlySold,Non Owner Occupied,$2.50M,4.0,3.0,1973.0,False,False,RecentlySold,Unknown Listed By,False,False,False,15082474.0,1849 Lyon St,94115,San Francisco,CA,37.788193,-122.44585,2500000.0,1709539200000.0,3.0,4.0,1973.0,CONDO,RECENTLY_SOLD,-1.0,False,False,,9192.0,False,False,RECENTLY_SOLD,2500000.0,157501000.0,True,False,False,USD,USA,2760916.0,2896.74,sqft,False,Bronwyn M. Brunner DRE #01384930,City Real Estate,,,,,,,,,,,,,,,,,,,,,
4,https://photos.zillowstatic.com/fp/089d857c302a16fc0a7b6394ae14bbdd-p_e.jpg,True,/homedetails/270-Dorantes-Ave-San-Francisco-CA-94116/15133238_zpid/,SOLD,Sold,$2.83M,"270 Dorantes Ave, San Francisco, CA 94116",,,,,,,,False,False,True,False,False,,False,157501000.0,,37.745197,-122.46596,RECENTLY_SOLD,Sold 03/04/2024,15133238,RecentlySold,Non Owner Occupied,$2.83M,4.0,3.0,2374.0,False,False,RecentlySold,Unknown Listed By,False,False,False,15133238.0,270 Dorantes Ave,94116,San Francisco,CA,37.745197,-122.46596,2825000.0,1709539200000.0,3.0,4.0,2374.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,2644600.0,6950.0,False,False,RECENTLY_SOLD,2825000.0,157501000.0,True,False,False,USD,USA,994049.0,3332.34,sqft,False,Andrew Herrera II DRE #01199229,Berkshire Hathaway-Franciscan,,,,,,,,,,,,,,,,,,,,,
5,https://photos.zillowstatic.com/fp/9e43ba8570f69dab534dcc983b306d29-p_e.jpg,True,/b/60-rausch-st-san-francisco-ca-5XyBmX/,SOLD,For Rent,,"60 Rausch St, San Francisco, CA",1.0,1.0,767.0,1002861123.0,37.776127--122.409676,True,False,True,False,False,False,False,,False,157501000.0,11.0,37.776127,-122.409676,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://photos.zillowstatic.com/fp/473df34c4e2f7eac64986ce4245877e9-p_e.jpg,True,/b/16-jessie-st-san-francisco-ca-5XqGMt/,SOLD,For Rent,,"16 Jessie St, San Francisco, CA",1.0,1.0,460.0,1002046221.0,37.789906--122.39894,True,False,False,False,False,False,False,,False,157501000.0,5.0,37.789906,-122.39894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://photos.zillowstatic.com/fp/89ce5606ffb5086c43ee1b157bcf2ff9-p_e.jpg,True,/b/1456-chestnut-st-san-francisco-ca-5YNz2c/,SOLD,For Rent,,"1456 Chestnut St, San Francisco, CA",3.0,2.0,1685.0,1005308334.0,37.802235--122.42736,True,False,False,False,False,False,False,,False,157501000.0,2.0,37.802235,-122.42736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://photos.zillowstatic.com/fp/b0af574264c8fab40f5e198d2a61df1e-p_e.jpg,True,/homedetails/3125-3127-Scott-St-San-Francisco-CA-94123/331638595_zpid/,SOLD,Sold,$2.65M,"3125-3127 Scott St, San Francisco, CA 94123",,,,,,,,False,False,True,False,False,,False,157501000.0,,37.798687,-122.44116,RECENTLY_SOLD,Sold 03/04/2024,331638595,RecentlySold,Non Owner Occupied,$2.65M,5.0,2.0,3746.0,False,False,RecentlySold,Unknown Listed By,False,False,False,331638595.0,3125-3127 Scott St,94123,San Francisco,CA,37.798687,-122.44116,2645000.0,1709539200000.0,2.0,5.0,3746.0,MULTI_FAMILY,RECENTLY_SOLD,-1.0,False,False,2592400.0,10034.0,False,False,RECENTLY_SOLD,2645000.0,157501000.0,True,False,False,USD,USA,994642.0,2443.716,sqft,False,Ronald Sebahar DRE #01126259,Compass,,,,,,,,,,,,,,,,,,,,,
9,https://photos.zillowstatic.com/fp/d0a2cf01aff97353cc763caed195748d-p_e.jpg,True,/b/2-fallon-pl-san-francisco-ca-5XjVcc/,SOLD,For Rent,,"2 Fallon Pl, San Francisco, CA",0.0,1.0,464.0,1001487412.0,37.797783--122.41303,True,False,True,False,False,False,False,,False,157501000.0,12.0,37.797783,-122.41303,3D_HOME,3D Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
