,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.unit,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,badgeInfo.type,badgeInfo.text,hdpData.homeInfo.isRentalWithBasePrice,lotAreaString,hdpData.homeInfo.videoCount,availabilityDate,buildingName,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,plid,hdpData.homeInfo.listing_sub_type.is_FSBO
0,10213535,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/a4be21b36fd40e83a56581ec33ef3540-p_e.jpg,True,/homedetails/15-W-Mount-Pleasant-Ave-Philadelphia-PA-19119/10213535_zpid/,SOLD,Sold,"$299,000",$299K,"15 W Mount Pleasant Ave, Philadelphia, PA 19119",3.0,1.0,1698.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Keller Williams Realty Devon-Wayne,71071000,40.058228,-75.18998,RECENTLY_SOLD,Sold 03/05/2024,10213535.0,15 W Mount Pleasant Ave,19119,Philadelphia,PA,40.058228,-75.18998,299000.0,1709625600000.0,1.0,3.0,1698.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,286800.0,2199.0,False,False,RECENTLY_SOLD,299000.0,71071000.0,True,False,False,USD,USA,380800.0,2250.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
1,10268316,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/e0bf27ed4cd953849590c701cd1b3e7c-p_e.jpg,True,/homedetails/4351-Fleming-St-Philadelphia-PA-19128/10268316_zpid/,SOLD,Sold,"$330,000",$330K,"4351 Fleming St, Philadelphia, PA 19128",3.0,2.0,1036.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,BHHS Fox & Roach Wayne-Devon,71071000,40.028267,-75.21913,RECENTLY_SOLD,Sold 03/05/2024,10268316.0,4351 Fleming St,19128,Philadelphia,PA,40.028267,-75.21913,330000.0,1709625600000.0,2.0,3.0,1036.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,287300.0,2050.0,False,False,RECENTLY_SOLD,330000.0,71071000.0,True,False,False,USD,USA,245300.0,1222.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
2,10323994,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/6628a5ec2a4ee7c7eefe430406f06a0d-p_e.jpg,True,/homedetails/2244-Taggert-St-Philadelphia-PA-19125/10323994_zpid/,SOLD,Sold,"$360,500",$361K,"2244 Taggert St, Philadelphia, PA 19125",2.0,1.0,1141.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Coldwell Banker Realty,71071000,39.976944,-75.12565,RECENTLY_SOLD,Sold 03/05/2024,10323994.0,2244 Taggert St,19125,Philadelphia,PA,39.976944,-75.12565,360500.0,1709625600000.0,1.0,2.0,1141.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,319700.0,1975.0,False,False,RECENTLY_SOLD,360500.0,71071000.0,True,False,False,USD,USA,206800.0,700.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
3,10350690,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/cdb1669f6c699f151b25428681c6d7f2-p_e.jpg,True,/homedetails/1128-N-64th-St-Philadelphia-PA-19151/10350690_zpid/,SOLD,Sold,"$130,000",$130K,"1128 N 64th St, Philadelphia, PA 19151",3.0,2.0,1286.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Keller Williams Real Estate-Blue Bell,71071000,39.97964,-75.249756,RECENTLY_SOLD,Sold 03/05/2024,10350690.0,1128 N 64th St,19151,Philadelphia,PA,39.97964,-75.249756,130000.0,1709625600000.0,2.0,3.0,1286.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,142000.0,1949.0,False,False,RECENTLY_SOLD,130000.0,71071000.0,True,False,False,USD,USA,184800.0,1600.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
4,10394538,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/f647580847ccbed2a02e74abf57533f8-p_e.jpg,True,/homedetails/2637-S-11th-St-Philadelphia-PA-19148/10394538_zpid/,SOLD,Sold,"$223,000",$223K,"2637 S 11th St, Philadelphia, PA 19148",3.0,2.0,1170.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Century 21 Rauh & Johns,71071000,39.91665,-75.16578,RECENTLY_SOLD,Sold 03/05/2024,10394538.0,2637 S 11th St,19148,Philadelphia,PA,39.91665,-75.16578,223000.0,1709625600000.0,2.0,3.0,1170.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,,1992.0,False,False,RECENTLY_SOLD,223000.0,71071000.0,True,False,False,USD,USA,242900.0,822.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
5,10437571,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/3598bb941d58b17ee1483614fa7f8969-p_e.jpg,True,/homedetails/4264-N-Darien-St-Philadelphia-PA-19140/10437571_zpid/,SOLD,Sold,"$52,000",$52K,"4264 N Darien St, Philadelphia, PA 19140",2.0,1.0,1038.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,"EXP Realty, LLC",71071000,40.01721,-75.14043,RECENTLY_SOLD,Sold 03/05/2024,10437571.0,4264 N Darien St,19140,Philadelphia,PA,40.01721,-75.14043,52000.0,1709625600000.0,1.0,2.0,1038.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,58900.0,1200.0,False,False,RECENTLY_SOLD,52000.0,71071000.0,True,False,False,USD,USA,83000.0,593.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
6,10492515,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/f8d56b50b5641e8eb6185a22f52bd293-p_e.jpg,True,/homedetails/6033-Belden-St-Philadelphia-PA-19149/10492515_zpid/,SOLD,Sold,"$160,000",$160K,"6033 Belden St, Philadelphia, PA 19149",3.0,1.0,1040.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Coldwell Banker Hearthside Realtors,71071000,40.036263,-75.08348,RECENTLY_SOLD,Sold 03/05/2024,10492515.0,6033 Belden St,19149,Philadelphia,PA,40.036263,-75.08348,160000.0,1709625600000.0,1.0,3.0,1040.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,167200.0,1500.0,False,False,RECENTLY_SOLD,160000.0,71071000.0,True,False,False,USD,USA,144400.0,1437.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
7,118358165,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/c15ffd0c73def399fdedcc1e2723eba5-p_e.jpg,True,/homedetails/616-Catharine-St-Philadelphia-PA-19147/118358165_zpid/,SOLD,Sold,$1.16M,$1.16M,"616 Catharine St, Philadelphia, PA 19147",4.0,4.0,3000.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Coldwell Banker Realty,71071000,39.938644,-75.153755,RECENTLY_SOLD,Sold 03/05/2024,118358165.0,616 Catharine St,19147,Philadelphia,PA,39.938644,-75.153755,1160000.0,1709625600000.0,4.0,4.0,3000.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,,3800.0,False,False,RECENTLY_SOLD,1160000.0,71071000.0,True,False,False,USD,USA,150600.0,1358.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
8,10172058,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/54892bdb22ba829b88e81d34e6a7ade2-p_e.jpg,True,/homedetails/429-Tasker-St-Philadelphia-PA-19148/10172058_zpid/,SOLD,Sold,"$162,500",$163K,"429 Tasker St, Philadelphia, PA 19148",3.0,1.0,1130.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Vylla Home,157471000,39.928627,-75.153046,RECENTLY_SOLD,Sold 03/04/2024,10172058.0,429 Tasker St,19148,Philadelphia,PA,39.928627,-75.153046,162500.0,1709539200000.0,1.0,3.0,1130.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,143800.0,1814.0,False,False,FORECLOSED,143800.0,157471000.0,True,False,False,USD,USA,240100.0,1024.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
9,10239376,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/00817bb177b570597332eca809c2ccac-p_e.jpg,True,/homedetails/328-W-Milne-St-Philadelphia-PA-19144/10239376_zpid/,SOLD,Sold,"$220,999",$221K,"328 W Milne St, Philadelphia, PA 19144",4.0,2.0,960.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,Diversified Realty Solutions,157471000,40.020035,-75.16377,RECENTLY_SOLD,Sold 03/04/2024,10239376.0,328 W Milne St,19144,Philadelphia,PA,40.020035,-75.16377,220999.0,1709539200000.0,2.0,4.0,960.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,208600.0,1674.0,False,False,RECENTLY_SOLD,220999.0,157471000.0,True,False,False,USD,USA,111200.0,1785.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,
