,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.dateSold,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,info6String,brokerName,hdpData.homeInfo.unit,hdpData.homeInfo.videoCount,streetViewURL,streetViewMetadataURL,minBeds,minBaths,minArea,lotId,buildingId,isBuilding,canSaveBuilding,unitCount,lotAreaString,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceChange,availabilityDate,hdpData.homeInfo.isRentalWithBasePrice,plid,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.priceReduction,isR4R,hdpData.homeInfo.rentalMarketingSubType
0,19650074,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/6e1b7501b8bb04413866b69eb471dc38-p_e.jpg,True,/homedetails/1510-Teresita-Dr-San-Jose-CA-95129/19650074_zpid/,SOLD,Sold,$2.41M,$2.41M,"1510 Teresita Dr, San Jose, CA 95129",3.0,2.0,1570.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,False,False,False,,False,False,71112000.0,37.295303,-121.99009,RECENTLY_SOLD,Sold 03/05/2024,19650074.0,1510 Teresita Dr,95129,San Jose,CA,37.295303,-121.99009,2410000.0,1709625600000.0,2.0,3.0,1570.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,2255800.0,4500.0,False,False,RECENTLY_SOLD,2410000.0,71112000.0,True,False,False,USD,USA,87216.0,0.2772038567493113,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19720667,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/1b8a424255425c983acdf1bf5fa4c1d6-p_e.jpg,True,/homedetails/2188-Luz-Ave-San-Jose-CA-95116/19720667_zpid/,SOLD,Sold,"$720,000",$720K,"2188 Luz Ave, San Jose, CA 95116",3.0,2.0,1165.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,False,False,False,,False,False,71112000.0,37.358463,-121.846054,RECENTLY_SOLD,Sold 03/05/2024,19720667.0,2188 Luz Ave,95116,San Jose,CA,37.358463,-121.846054,720000.0,1709625600000.0,2.0,3.0,1165.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,703400.0,3300.0,False,False,RECENTLY_SOLD,720000.0,71112000.0,True,False,False,USD,USA,601800.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19769288,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/6bd19901dba6a4f48b8b413d5bceadb4-p_e.jpg,True,/homedetails/3430-Cardoza-Ct-San-Jose-CA-95132/19769288_zpid/,SOLD,Sold,$1.93M,$1.93M,"3430 Cardoza Ct, San Jose, CA 95132",3.0,2.0,1505.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,False,False,False,,False,False,71112000.0,37.410393,-121.85083,RECENTLY_SOLD,Sold 03/05/2024,19769288.0,3430 Cardoza Ct,95132,San Jose,CA,37.410393,-121.85083,1926000.0,1709625600000.0,2.0,3.0,1505.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1706800.0,3900.0,False,False,RECENTLY_SOLD,1926000.0,71112000.0,True,False,False,USD,USA,1418036.0,0.26503673094582186,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19563638,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/4ae04e5fe4d6541b5ead09c83b0fb9db-p_e.jpg,True,/homedetails/1235-Trumpeter-Pl-San-Jose-CA-95131/19563638_zpid/,SOLD,Sold,$1.22M,$1.22M,"1235 Trumpeter Pl, San Jose, CA 95131",2.0,3.0,1506.0,False,False,RecentlySold,RecentChange,False,False,False,False,False,False,False,,False,False,157512000.0,37.386208,-121.893456,RECENTLY_SOLD,Sold 03/04/2024,19563638.0,1235 Trumpeter Pl,95131,San Jose,CA,37.386208,-121.893456,1215000.0,1709539200000.0,3.0,2.0,1506.0,TOWNHOUSE,RECENTLY_SOLD,-1.0,False,False,1145000.0,3664.0,False,False,RECENTLY_SOLD,1215000.0,157512000.0,True,False,False,USD,USA,1030000.0,435.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19566316,RecentlySold,Non Owner Occupied,https://photos.zillowstatic.com/fp/ad95dfad44ef2ecfa042eaa2d209990b-p_e.jpg,True,/homedetails/1835-Wintersong-Ct-San-Jose-CA-95131/19566316_zpid/,SOLD,Sold,$1.85M,$1.85M,"1835 Wintersong Ct, San Jose, CA 95131",4.0,3.0,2124.0,False,False,RecentlySold,Unknown Listed By,False,False,False,False,True,False,False,,False,False,157512000.0,37.377583,-121.870575,RECENTLY_SOLD,Sold 03/04/2024,19566316.0,1835 Wintersong Ct,95131,San Jose,CA,37.377583,-121.870575,1850000.0,1709539200000.0,3.0,4.0,2124.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1767900.0,4500.0,False,False,RECENTLY_SOLD,1850000.0,157512000.0,True,False,False,USD,USA,347126.0,7200.468,sqft,False,Harold S. Meacham DRE #01842622,Renovation Realty,,,,,,,,,,,,,,,,,,,,,,,,,
5,19582863,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/545f4780b77ce86bb6b67d751da96227-p_e.jpg,True,/homedetails/1765-Emory-St-San-Jose-CA-95126/19582863_zpid/,SOLD,Sold,$2.40M,$2.40M,"1765 Emory St, San Jose, CA 95126",3.0,2.0,2031.0,False,False,RecentlySold,RecentChange,False,False,False,False,False,False,False,,False,False,157512000.0,37.331333,-121.93129,RECENTLY_SOLD,Sold 03/04/2024,19582863.0,1765 Emory St,95126,San Jose,CA,37.331333,-121.93129,2400000.0,1709539200000.0,2.0,3.0,2031.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,2006400.0,4900.0,False,False,RECENTLY_SOLD,2400000.0,157512000.0,True,False,False,USD,USA,632377.0,6098.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19587319,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/e9c5ebb2cf40a2b7ee05dc9efedc99f3-p_e.jpg,True,/homedetails/1293-Greenbriar-Ave-San-Jose-CA-95128/19587319_zpid/,SOLD,Sold,$1.61M,$1.61M,"1293 Greenbriar Ave, San Jose, CA 95128",3.0,2.0,1468.0,False,False,RecentlySold,RecentChange,False,False,False,False,False,False,False,,False,False,157512000.0,37.301746,-121.946106,RECENTLY_SOLD,Sold 03/04/2024,19587319.0,1293 Greenbriar Ave,95128,San Jose,CA,37.301746,-121.946106,1612000.0,1709539200000.0,2.0,3.0,1468.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1574200.0,4200.0,False,False,RECENTLY_SOLD,1612000.0,157512000.0,True,False,False,USD,USA,535604.0,6098.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19605561,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/f45a4a42d530af91ef9a7b33b92f4e77-p_e.jpg,True,/homedetails/4007-Olga-Dr-San-Jose-CA-95117/19605561_zpid/,SOLD,Sold,$1.90M,$1.90M,"4007 Olga Dr, San Jose, CA 95117",3.0,2.0,1437.0,False,False,RecentlySold,RecentChange,False,False,False,False,False,False,False,,False,False,157512000.0,37.310894,-121.97312,RECENTLY_SOLD,Sold 03/04/2024,19605561.0,4007 Olga Dr,95117,San Jose,CA,37.310894,-121.97312,1900000.0,1709539200000.0,2.0,3.0,1437.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1716300.0,4291.0,False,False,RECENTLY_SOLD,1900000.0,157512000.0,True,False,False,USD,USA,77214.0,6098.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,19686191,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/9f139fa8ee8efcd7e48b23637d117705-p_e.jpg,True,/homedetails/1974-Ellen-Ave-San-Jose-CA-95125/19686191_zpid/,SOLD,Sold,$1.90M,$1.90M,"1974 Ellen Ave, San Jose, CA 95125",3.0,2.0,1317.0,False,False,RecentlySold,RecentChange,False,False,False,False,False,False,False,,False,False,157512000.0,37.29673,-121.88628,RECENTLY_SOLD,Sold 03/04/2024,19686191.0,1974 Ellen Ave,95125,San Jose,CA,37.29673,-121.88628,1900000.0,1709539200000.0,2.0,3.0,1317.0,SINGLE_FAMILY,RECENTLY_SOLD,-1.0,False,False,1783200.0,3995.0,False,False,RECENTLY_SOLD,1900000.0,157512000.0,True,False,False,USD,USA,819099.0,4792.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19712342,RecentlySold,RecentChange,https://photos.zillowstatic.com/fp/8dd52877f7f050aa904b5e1e192e0b4b-p_e.jpg,True,/homedetails/144-S-3rd-St-UNIT-531-San-Jose-CA-95112/19712342_zpid/,SOLD,Sold,"$799,999",$800K,"144 S 3rd St UNIT 531, San Jose, CA 95112",2.0,2.0,1421.0,False,False,RecentlySold,RecentChange,False,False,False,False,False,False,False,,False,False,157512000.0,37.3344,-121.885994,RECENTLY_SOLD,Sold 03/04/2024,19712342.0,144 S 3rd St UNIT 531,95112,San Jose,CA,37.3344,-121.885994,799999.0,1709539200000.0,2.0,2.0,1421.0,CONDO,RECENTLY_SOLD,-1.0,False,False,794800.0,3350.0,False,False,RECENTLY_SOLD,799999.0,157512000.0,True,False,False,USD,USA,739500.0,1536.0,sqft,False,,,Unit 531,,,,,,,,,,,,,,,,,,,,,,,,
